PSML_position_x_raven,PSML_position_y_raven,PSML_position_z_raven,PSMR_position_x_raven,PSMR_position_y_raven,PSMR_position_z_raven,PSML_gripper_angle_raven,PSMR_gripper_angle_raven,Trackstar time_raven,True frame #,Frame,Timestamp,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z,PSML_position_x_trakstar,PSML_position_y_trakstar,PSML_position_z_trakstar,PSMR_position_x_trakstar,PSMR_position_y_trakstar,PSMR_position_z_trakstar,PSML_gripper_angle_trakstar,PSMR_gripper_angle_trakstar,Trackstar time_trakstar,Relative frame #,Frame timestamp
373.763,24.389215,-70.09805,398.208,-121.1085,-76.40465,0.5105754992236249,0.0,1674856624.0409,299,18,1674856624039.6667,-0.0005600094970541,-0.0050231213879471,-0.0033484754725119,0.0278999087041689,0.0837199754405111,-0.0273474604887037,373.763,24.389215,-70.09805,398.208,-121.1085,-76.40465,0.5105754992236249,0.0,1674856624.0409,18,1674856624039.6667
374.489,23.049765,-70.26545,399.827,-118.709,-77.6325,0.5087410927600653,0.0,1674856624.074,300,19,1674856624073.0,0.0061450068726152,-0.0195336568140589,-0.0089289890968127,0.0424199441534742,0.0792499645273985,-0.0351609795646779,374.489,23.049765,-70.26545,399.827,-118.709,-77.6325,0.5087410927600653,0.0,1674856624.074,19,1674856624073.0
374.991,22.045175,-71.54910000000002,401.61300000000006,-116.253,-80.70205,0.4831245432943236,0.0,1674856624.1071,301,20,1674856624106.3333,0.0133900245606465,-0.0290213299773235,-0.0189755136244607,0.0558149768561912,0.0798149659067965,-0.0574845340655435,374.991,22.045175,-71.54910000000001,401.613,-116.253,-80.70205,0.4831245432943236,0.0,1674856624.1071,20,1674856624106.3333
374.8795,21.04055,-72.88855000000002,402.506,-114.077,-82.59960000000002,0.4719386760136186,0.0,1674856624.1401,302,21,1674856624139.6667,0.0111650354248516,-0.0334866581739632,-0.0279049700235994,0.0429800395267825,0.0703150122932886,-0.0619495122638923,374.8795,21.04055,-72.88855000000001,402.506,-114.077,-82.59960000000001,0.4719386760136186,0.0,1674856624.1401,21,1674856624139.6667
374.8795,19.254645,-74.45125,402.2825,-112.012,-84.8878,0.4675558613361963,0.0,1674856624.1732,303,22,1674856624173.0,0.0039050177001983,-0.0379512190737701,-0.0418580040886237,0.0245549945437633,0.0669700041267648,-0.0725530381514065,374.8795,19.254645,-74.45125,402.2825,-112.012,-84.8878,0.4675558613361963,0.0,1674856624.1732,22,1674856624173.0
375.2145,17.30125,-76.293,401.501,-110.9515,-86.67375,0.4552423987887351,0.0126037635303804,1674856624.2063,304,23,1674856624206.3333,0.0022350136230402,-0.0474392922380112,-0.0474390177141451,-0.0011200681394962,0.0530149700568573,-0.0597170068134393,375.2145,17.30125,-76.293,401.501,-110.9515,-86.67375,0.455242398788735,0.0126037635303804,1674856624.2063,23,1674856624206.3333
375.828,15.347900000000005,-77.96735,400.4405,-109.7796,-88.962,0.4657580779607039,0.0489813460229146,1674856624.2394,305,24,1674856624239.6667,0.0094849782228227,-0.0569264959137744,-0.0507880013616858,-0.0206549727542188,0.0429740190849384,-0.0636239877363838,375.828,15.347900000000005,-77.96735,400.4405,-109.7796,-88.962,0.4657580779607039,0.0489813460229146,1674856624.2394,24,1674856624239.6667
376.3305,13.6736,-79.9207,399.715,-109.22145,-91.02705,0.4646523444040394,0.06924747482868,1674856624.2724,306,25,1674856624273.0,0.0145099904909184,-0.0558104431890364,-0.0546945108990628,-0.0256749850101088,0.0279054822965184,-0.0613924822883727,376.3305,13.6736,-79.9207,399.715,-109.22145,-91.02705,0.4646523444040394,0.06924747482868,1674856624.2724,25,1674856624273.0
376.1075,12.892200000000004,-82.26474999999998,399.101,-109.05405,-93.092,0.4681239873516725,0.0789815552832398,1674856624.3055,307,26,1674856624306.3333,0.008929976867839,-0.0440904645758073,-0.0597175231622761,-0.0239999809207426,0.0189744604922659,-0.0641824890999129,376.1075,12.892200000000004,-82.26474999999999,399.101,-109.05405,-93.092,0.4681239873516725,0.0789815552832398,1674856624.3055,26,1674856624306.3333
375.326,12.38995,-84.99945,398.8225,-109.3888,-94.65445,0.4727658669649281,0.0789960445531487,1674856624.3386,308,27,1674856624339.6667,-0.0050199550172601,-0.0295795354299536,-0.0703209713876269,-0.0161800191041501,0.0039080340588013,-0.0569245245391928,375.326,12.38995,-84.99945,398.8225,-109.3888,-94.65445,0.4727658669649281,0.0789960445531487,1674856624.3386,27,1674856624339.6667
